"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
4.605469790E-1;5.848296732E-2;2.737394348E-2;1.395195723E-1
4.654711460E-1;5.741770566E-2;2.950447053E-2;1.352585107E-1
4.703953640E-1;5.422191322E-2;2.524341457E-2;1.331279874E-1
4.753195310E-1;6.061349064E-2;2.524341457E-2;1.320627183E-1
4.802436980E-1;6.487454474E-2;1.565604471E-2;1.235406026E-1
4.851678640E-1;6.593981385E-2;5.003409460E-3;1.160837561E-1
4.901007810E-1;6.593981385E-2;-3.518698504E-3;1.107574403E-1
4.950249480E-1;5.954822898E-2;-9.910279885E-3;1.064963862E-1
4.999491660E-1;4.250401258E-2;-1.523659751E-2;1.001048088E-1
5.048733330E-1;2.652506158E-2;-1.949765161E-2;9.797427803E-2
5.097975000E-1;2.013348043E-2;-2.482396923E-2;1.001048088E-1
5.147216660E-1;2.226400562E-2;-3.015028685E-2;9.584374726E-2
5.196532810E-1;2.865558863E-2;-3.547660261E-2;9.264796227E-2
5.245774480E-1;3.185138106E-2;-3.760713339E-2;9.477848560E-2
5.295016660E-1;3.291664273E-2;-3.547660261E-2;9.371322393E-2
5.344258330E-1;2.865558863E-2;-3.334607929E-2;9.051743150E-2
5.393500000E-1;1.906821690E-2;-3.334607929E-2;8.519111574E-2
5.442741660E-1;7.350317203E-3;-3.228081390E-2;8.199532330E-2
5.492057810E-1;-2.237053588E-3;-2.908502333E-2;7.027743012E-2
5.541299480E-1;-5.432844162E-3;-2.056291513E-2;5.429847911E-2
5.590541660E-1;-1.502021495E-2;-1.204080693E-2;4.471110553E-2
5.639783330E-1;-2.247705869E-2;-1.388171571E-3;3.405847400E-2
5.689025000E-1;-2.247705869E-2;1.139499061E-2;1.701425575E-2
5.738266660E-1;-2.247705869E-2;1.885183528E-2;8.492147550E-3
5.787520830E-1;-1.821600646E-2;2.524341457E-2;-1.095224288E-3
5.836762500E-1;-6.498107687E-3;2.524341457E-2;-1.281312294E-2
5.886004160E-1;5.219791085E-3;1.885183528E-2;-2.453102358E-2
5.935246350E-1;1.054610871E-2;1.672130823E-2;-3.411839157E-2
5.984488020E-1;-1.065266551E-4;1.778656989E-2;-4.370576516E-2
6.033729690E-1;-1.928126998E-2;1.672130823E-2;-5.329313502E-2
6.082838020E-1;-3.632548451E-2;1.565604471E-2;-6.607630104E-2
6.132079690E-1;-4.910864681E-2;1.139499061E-2;-7.885946333E-2
6.181321350E-1;-5.443496257E-2;6.068672985E-3;-9.057736397E-2
6.230563540E-1;-4.910864681E-2;3.938145936E-3;-1.033605263E-1
6.279805210E-1;-3.739074618E-2;2.872882178E-3;-1.172089502E-1
6.329046870E-1;-2.354232408E-2;3.938145936E-3;-1.289268434E-1
6.378604690E-1;-1.288968883E-2;5.003409460E-3;-1.438405365E-1
6.427846350E-1;-7.563370746E-3;-3.229080176E-4;-1.534279138E-1
6.477088020E-1;-7.563370746E-3;-5.649225786E-3;-1.630152762E-1
6.526330210E-1;-1.288968883E-2;-1.097554341E-2;-1.694068462E-1
6.575571870E-1;-1.608547941E-2;-2.162817866E-2;-1.694068462E-1
6.624813540E-1;-1.182442531E-2;-3.547660261E-2;-1.683415920E-1
6.674161980E-1;-1.065266551E-4;-5.145555735E-2;-1.672763228E-1
6.723403640E-1;2.013348043E-2;-7.063030452E-2;-1.608847380E-1
6.772645830E-1;4.250401258E-2;-9.619662911E-2;-1.481015831E-1
6.821887500E-1;6.061349064E-2;-1.217629462E-1;-1.374489516E-1
6.871129160E-1;7.233139127E-2;-1.483945400E-1;-1.299920976E-1
6.920370830E-1;6.593981385E-2;-1.718303412E-1;-1.214699969E-1
6.969687500E-1;4.889559746E-2;-1.931356043E-1;-1.065563112E-1
7.018929160E-1;2.865558863E-2;-2.112450749E-1;-8.844684064E-2
7.068171350E-1;1.374189928E-2;-2.272240371E-1;-7.353314757E-2
7.117413020E-1;1.374189928E-2;-2.463987917E-1;-5.542366579E-2
7.166654690E-1;3.717769682E-2;-2.655735314E-1;-3.624891862E-2
7.215896350E-1;6.487454474E-2;-2.847482562E-1;-2.133523114E-2
7.265542190E-1;8.724507689E-2;-2.964661717E-1;-6.421541795E-3
7.314783850E-1;9.576719254E-2;-3.060535192E-1;7.426884025E-3
7.364025520E-1;8.937560022E-2;-3.092493415E-1;2.553636394E-2
7.413267710E-1;7.339665294E-2;-3.081840575E-1;3.938478976E-2
7.462509370E-1;5.954822898E-2;-3.039230108E-1;5.429847911E-2
7.511751040E-1;5.315665156E-2;-2.985966802E-1;7.240795344E-2
7.560745310E-1;6.061349064E-2;-2.900745869E-1;8.838690817E-2
7.609986980E-1;7.446191460E-2;-2.783567011E-1;1.033006012E-1
7.659229160E-1;9.257140011E-2;-2.613124847E-1;1.267364025E-1
7.708470830E-1;1.117461398E-1;-2.474640459E-1;1.491069347E-1
7.757712500E-1;1.319861561E-1;-2.389419228E-1;1.704122126E-1
7.806954160E-1;1.500956267E-1;-2.325503379E-1;1.949132681E-1
7.856257290E-1;1.554219425E-1;-2.304198295E-1;2.119574845E-1
7.905498960E-1;1.543566883E-1;-2.346808761E-1;2.215448469E-1
7.954741140E-1;1.468998343E-1;-2.421377152E-1;2.247406393E-1
8.003982810E-1;1.287903488E-1;-2.517250776E-1;2.268711776E-1
8.053224480E-1;1.053545624E-1;-2.591819167E-1;2.290017009E-1
8.102466140E-1;7.872296870E-2;-2.666387558E-1;2.290017009E-1
8.152118230E-1;5.528717488E-2;-2.730303705E-1;2.247406393E-1
8.201359890E-1;3.824295849E-2;-2.826177478E-1;2.194143236E-1
8.250601560E-1;3.930822015E-2;-2.900745869E-1;2.119574845E-1
8.299843750E-1;4.356927425E-2;-2.996619642E-1;2.055658996E-1
8.349085410E-1;4.463453591E-2;-3.017924726E-1;1.991743296E-1
8.398327080E-1;4.037348926E-2;-2.985966802E-1;1.927827448E-1
8.447289580E-1;3.611243516E-2;-2.900745869E-1;1.853258908E-1
8.496531250E-1;2.865558863E-2;-2.826177478E-1;1.725427359E-1
8.545773440E-1;2.759032510E-2;-2.740956247E-1;1.565637738E-1
8.595015100E-1;2.439453453E-2;-2.677040398E-1;1.416500956E-1
8.644256770E-1;2.119874395E-2;-2.559861541E-1;1.224753410E-1
8.693498440E-1;1.480716094E-2;-2.410724610E-1;1.022353321E-1
8.742832810E-1;1.267663576E-2;-2.314850837E-1;7.986479998E-2
