t.m;t.s;t.ms;kinect_foot_right.x;kinect_foot_right.y;kinect_foot_right.z;kinect_foot_left.x;kinect_foot_left.y;kinect_foot_left.z;kinect_hand_right.x;kinect_hand_right.y;kinect_hand_right.z;kinect_hand_left.x;kinect_hand_left.y;kinect_hand_left.z;imu_acceleration.x;imu_acceleration.y;imu_acceleration.z;imu_gravity.x;imu_gravity.y;imu_gravity.z;imu_orientation.x;imu_orientation.y;imu_orientation.z;imu_orientation.w;imu_yaw;imu_pitch;imu_roll;kinect_foot_right_orientation.x;kinect_foot_right_orientation.y;kinect_foot_right_orientation.z;kinect_foot_right_orientation.w;kinect_foot_left_orientation.x;kinect_foot_left_orientation.y;kinect_foot_left_orientation.z;kinect_foot_left_orientation.w;kinect_hand_right_orientation.x;kinect_hand_right_orientation.y;kinect_hand_right_orientation.z;kinect_hand_right_orientation.w;kinect_hand_left_orientation.x;kinect_hand_left_orientation.y;kinect_hand_left_orientation.z;kinect_hand_left_orientation.w
0;19;799;0;0;0;0;0;0;0;0;0;0;0;0;0,660708;-0,197606;13,29296;-0,862818;0,491613;0,116878;0,360596;0,558106;-0,041626;0,746094;51,2142;-59,64433;29,44991;0;0;0;1;0;0;0;1;0,03676624;0,4091605;0,083363;0,9079023;-0,3865795;0,846383;0,1540748;-0,3323447
0;19;820;0,5584646;-0,7872724;0,853702;-0,4904582;-0,8194067;1,027553;0,2905167;-0,1831584;0,9092069;-0,08159743;-0,1502147;0,9832243;0,498259;-0,37824;13,14749;-0,862976;0,491126;0,117758;0,359985;0,558106;-0,041443;0,746399;51,15583;-59,66221;29,41787;0;0;0;1;0;0;0;1;0,03718025;0,4090833;0,08453255;0,9078121;-0,4073043;0,8363817;0,1623425;-0,3289588
0;19;835;0;0;0;0;0;0;0;0;0;0;0;0;0,450979;-0,273982;13,13173;-0,864262;0,489352;0,115625;0,36023;0,558899;-0,042786;0,745606;51,47431;-59,80917;29,30152;0;0;0;1;0;0;0;1;0,03718025;0,4090833;0,08453255;0,9078121;-0,4073043;0,8363817;0,1623425;-0,3289588
0;19;843;0;0;0;0;0;0;0;0;0;0;0;0;0,450979;-0,273982;13,13173;-0,864262;0,489352;0,115625;0,36023;0,558899;-0,042786;0,745606;51,47431;-59,80917;29,30152;0;0;0;1;0;0;0;1;0,03718025;0,4090833;0,08453255;0,9078121;-0,4073043;0,8363817;0,1623425;-0,3289588
0;19;854;0;0;0;0;0;0;0;0;0;0;0;0;0,450979;-0,273982;13,13173;-0,864262;0,489352;0,115625;0,36023;0,558899;-0,042786;0,745606;51,47431;-59,80917;29,30152;0;0;0;1;0;0;0;1;0,03718025;0,4090833;0,08453255;0,9078121;-0,4073043;0,8363817;0,1623425;-0,3289588
0;19;864;0,4480775;-0,8580157;0,8676723;-0,4904007;-0,8191757;1,027622;0,2905245;-0,1831989;0,9092136;-0,08148304;-0,1361451;0,9865131;0,450979;-0,273982;13,13173;-0,864262;0,489352;0,115625;0,36023;0,558899;-0,042786;0,745606;51,47431;-59,80917;29,30152;0;0;0;1;0;0;0;1;0,03752062;0,4089678;0,08553208;0,9077564;-0,3645651;0,8558855;0,145423;-0,3367558
0;19;873;0;0;0;0;0;0;0;0;0;0;0;0;0,450979;-0,273982;13,13173;-0,864262;0,489352;0,115625;0,36023;0,558899;-0,042786;0,745606;51,47431;-59,80917;29,30152;0;0;0;1;0;0;0;1;0,03752062;0,4089678;0,08553208;0,9077564;-0,3645651;0,8558855;0,145423;-0,3367558
0;19;882;0;0;0;0;0;0;0;0;0;0;0;0;0,450979;-0,273982;13,13173;-0,864262;0,489352;0,115625;0,36023;0,558899;-0,042786;0,745606;51,47431;-59,80917;29,30152;0;0;0;1;0;0;0;1;0,03752062;0,4089678;0,08553208;0,9077564;-0,3645651;0,8558855;0,145423;-0,3367558
0;19;893;0,3796863;-0,9012372;0,8761103;-0,4903422;-0,818943;1,027686;0,2905333;-0,18324;0,9092196;-0,08146437;-0,1259695;0,9889937;0,450979;-0,273982;13,13173;-0,864262;0,489352;0,115625;0,36023;0,558899;-0,042786;0,745606;51,47431;-59,80917;29,30152;0;0;0;1;0;0;0;1;0,03786484;0,40884;0,08653314;0,9077049;-0,320789;0,8751347;0,1265586;-0,3394358
0;19;903;0;0;0;0;0;0;0;0;0;0;0;0;0,6304;-0,206092;13,20204;-0,865527;0,487352;0,114711;0,359924;0,559509;-0,043884;0,745239;51,69131;-59,95245;29,16977;0;0;0;1;0;0;0;1;0,03786484;0,40884;0,08653314;0,9077049;-0,320789;0,8751347;0,1265586;-0,3394358
