t.m;t.s;t.ms;kinect_foot_right.x;kinect_foot_right.y;kinect_foot_right.z;kinect_foot_left.x;kinect_foot_left.y;kinect_foot_left.z;kinect_hand_right.x;kinect_hand_right.y;kinect_hand_right.z;kinect_hand_left.x;kinect_hand_left.y;kinect_hand_left.z;imu_acceleration.x;imu_acceleration.y;imu_acceleration.z;imu_gravity.x;imu_gravity.y;imu_gravity.z;imu_orientation.x;imu_orientation.y;imu_orientation.z;imu_orientation.w;imu_yaw;imu_pitch;imu_roll;imu_yaw_velocity;imu_pitch_velocity;imu_roll_velocity;kinect_head_orientation.x;kinect_head_orientation.y;kinect_head_orientation.z;kinect_head_orientation.w;kinect_shoulder_center_orientation.x;kinect_shoulder_center_orientation.y;kinect_shoulder_center_orientation.z;kinect_shoulder_center_orientation.w;kinect_shoulder_right_orientation.x;kinect_shoulder_right_orientation.y;kinect_shoulder_right_orientation.z;kinect_shoulder_right_orientation.w;kinect_shoulder_left_orientation.x;kinect_shoulder_left_orientation.y;kinect_shoulder_left_orientation.z;kinect_shoulder_left_orientation.w;kinect_elbow_left_orientation.x;kinect_elbow_left_orientation.y;kinect_elbow_left_orientation.z;kinect_elbow_left_orientation.w;kinect_elbow_right_orientation.x;kinect_elbow_right_orientation.y;kinect_elbow_right_orientation.z;kinect_elbow_right_orientation.w;kinect_wrist_right_orientation.x;kinect_wrist_right_orientation.y;kinect_wrist_right_orientation.z;kinect_wrist_right_orientation.w;kinect_wrist_left_orientation.x;kinect_wrist_left_orientation.y;kinect_wrist_left_orientation.z;kinect_wrist_left_orientation.w;kinect_foot_right_orientation.x;kinect_foot_right_orientation.y;kinect_foot_right_orientation.z;kinect_foot_right_orientation.w;kinect_foot_left_orientation.x;kinect_foot_left_orientation.y;kinect_foot_left_orientation.z;kinect_foot_left_orientation.w;kinect_hand_right_orientation.x;kinect_hand_right_orientation.y;kinect_hand_right_orientation.z;kinect_hand_right_orientation.w;kinect_hand_left_orientation.x;kinect_hand_left_orientation.y;kinect_hand_left_orientation.z;kinect_hand_left_orientation.w
1;8;110;0;0;0;0;0;0;0;0;0;0;0;0;-0,631613;-0,1576;9,511772;-0,759897;0,392476;0,518109;0,485779;-0,070313;-0,823364;0,28479;132,3981;-49,45788;23,10962;0;0;0;0,1830281;-0,3942121;-0,02275814;0,900322;0,1830281;-0,3942121;-0,02275814;0,900322;0,3579659;-0,7114687;-0,3139517;0,516824;0,2896118;0,2556807;0,5089706;0,7692213;-0,2905368;0,8963133;0,232182;-0,2414588;0,1646137;0,5923578;0,1457192;0,7751004;-0,3191736;0,8971658;0,2321323;-0,1983338;-0,005736973;0,652106;-0,04377778;0,7568411;0;0;0;1;0;0;0;1;-0,005736973;0,652106;-0,04377778;0,7568411;-0,3191736;0,8971658;0,2321323;-0,1983338
1;8;118;0;0;0;0;0;0;0;0;0;0;0;0;-0,631613;-0,1576;9,511772;-0,759897;0,392476;0,518109;0,485779;-0,070313;-0,823364;0,28479;132,3981;-49,45788;23,10962;0;0;0;0,1830281;-0,3942121;-0,02275814;0,900322;0,1830281;-0,3942121;-0,02275814;0,900322;0,3579659;-0,7114687;-0,3139517;0,516824;0,2896118;0,2556807;0,5089706;0,7692213;-0,2905368;0,8963133;0,232182;-0,2414588;0,1646137;0,5923578;0,1457192;0,7751004;-0,3191736;0,8971658;0,2321323;-0,1983338;-0,005736973;0,652106;-0,04377778;0,7568411;0;0;0;1;0;0;0;1;-0,005736973;0,652106;-0,04377778;0,7568411;-0,3191736;0,8971658;0,2321323;-0,1983338
1;8;127;0;0;0;0;0;0;0;0;0;0;0;0;-0,631613;-0,1576;9,511772;-0,759897;0,392476;0,518109;0,485779;-0,070313;-0,823364;0,28479;132,3981;-49,45788;23,10962;0;0;0;0,1830281;-0,3942121;-0,02275814;0,900322;0,1830281;-0,3942121;-0,02275814;0,900322;0,3579659;-0,7114687;-0,3139517;0,516824;0,2896118;0,2556807;0,5089706;0,7692213;-0,2905368;0,8963133;0,232182;-0,2414588;0,1646137;0,5923578;0,1457192;0,7751004;-0,3191736;0,8971658;0,2321323;-0,1983338;-0,005736973;0,652106;-0,04377778;0,7568411;0;0;0;1;0;0;0;1;-0,005736973;0,652106;-0,04377778;0,7568411;-0,3191736;0,8971658;0,2321323;-0,1983338
1;8;137;0,5052367;-0,8036768;1,106196;0,02487732;-0,8787904;1,007095;0,3277747;0,05298353;0,9752384;0,2547752;-0,1539008;0,8936479;-0,631613;-0,1576;9,511772;-0,759897;0,392476;0,518109;0,485779;-0,070313;-0,823364;0,28479;132,3981;-49,45788;23,10962;0;0;0;0,1828776;-0,3943609;-0,02283332;0,9002855;0,1828776;-0,3943609;-0,02283332;0,9002855;0,3580453;-0,7115388;-0,3139827;0,5166537;0,2897903;0,2552643;0,50972;0,768796;-0,2905264;0,8964649;0,2320694;-0,2410165;0,1646568;0,5921804;0,1457811;0,7752151;-0,3181304;0,898158;0,2313804;-0,1963884;-0,00554388;0,6524794;-0,04321621;0,7565529;0;0;0;1;0;0;0;1;-0,00554388;0,6524794;-0,04321621;0,7565529;-0,3181304;0,898158;0,2313804;-0,1963884
1;8;148;0;0;0;0;0;0;0;0;0;0;0;0;-0,607367;-0,197606;9,448732;-0,759959;0,392298;0,518343;0,485718;-0,070251;-0,823486;0,284729;132,4101;-49,45671;23,09617;0,01199341;0,001167297;-0,01344872;0,1828776;-0,3943609;-0,02283332;0,9002855;0,1828776;-0,3943609;-0,02283332;0,9002855;0,3580453;-0,7115388;-0,3139827;0,5166537;0,2897903;0,2552643;0,50972;0,768796;-0,2905264;0,8964649;0,2320694;-0,2410165;0,1646568;0,5921804;0,1457811;0,7752151;-0,3181304;0,898158;0,2313804;-0,1963884;-0,00554388;0,6524794;-0,04321621;0,7565529;0;0;0;1;0;0;0;1;-0,00554388;0,6524794;-0,04321621;0,7565529;-0,3181304;0,898158;0,2313804;-0,1963884
1;8;156;0;0;0;0;0;0;0;0;0;0;0;0;-0,607367;-0,197606;9,448732;-0,759959;0,392298;0,518343;0,485718;-0,070251;-0,823486;0,284729;132,4101;-49,45671;23,09617;0;0;0;0,1828776;-0,3943609;-0,02283332;0,9002855;0,1828776;-0,3943609;-0,02283332;0,9002855;0,3580453;-0,7115388;-0,3139827;0,5166537;0,2897903;0,2552643;0,50972;0,768796;-0,2905264;0,8964649;0,2320694;-0,2410165;0,1646568;0,5921804;0,1457811;0,7752151;-0,3181304;0,898158;0,2313804;-0,1963884;-0,00554388;0,6524794;-0,04321621;0,7565529;0;0;0;1;0;0;0;1;-0,00554388;0,6524794;-0,04321621;0,7565529;-0,3181304;0,898158;0,2313804;-0,1963884
1;8;167;0,5046067;-0,8037167;1,105735;0,0250376;-0,8787948;1,007037;0,327594;0,05299679;0,9752877;0,2548833;-0,1537345;0,893979;-0,607367;-0,197606;9,448732;-0,759959;0,392298;0,518343;0,485718;-0,070251;-0,823486;0,284729;132,4101;-49,45671;23,09617;0;0;0;0,1827349;-0,3944961;-0,02289396;0,9002537;0,1827349;-0,3944961;-0,02289396;0,9002537;0,3581121;-0,7116042;-0,3140081;0,5165019;0,2899146;0,2549246;0,5103137;0,7684679;-0,2905039;0,8966214;0,2319545;-0,2405717;0,1645218;0,5920784;0,1456125;0,7753533;-0,3173693;0,8989087;0,2308033;-0,1948586;-0,005331294;0,6528627;-0,04262861;0,7562571;0;0;0;1;0;0;0;1;-0,005331294;0,6528627;-0,04262861;0,7562571;-0,3173693;0,8989087;0,2308033;-0,1948586
1;8;175;0;0;0;0;0;0;0;0;0;0;0;0;-0,607367;-0,197606;9,448732;-0,759959;0,392298;0,518343;0,485718;-0,070251;-0,823486;0,284729;132,4101;-49,45671;23,09617;0;0;0;0,1827349;-0,3944961;-0,02289396;0,9002537;0,1827349;-0,3944961;-0,02289396;0,9002537;0,3581121;-0,7116042;-0,3140081;0,5165019;0,2899146;0,2549246;0,5103137;0,7684679;-0,2905039;0,8966214;0,2319545;-0,2405717;0,1645218;0,5920784;0,1456125;0,7753533;-0,3173693;0,8989087;0,2308033;-0,1948586;-0,005331294;0,6528627;-0,04262861;0,7562571;0;0;0;1;0;0;0;1;-0,005331294;0,6528627;-0,04262861;0,7562571;-0,3173693;0,8989087;0,2308033;-0,1948586
1;8;184;0;0;0;0;0;0;0;0;0;0;0;0;-0,607367;-0,197606;9,448732;-0,759959;0,392298;0,518343;0,485718;-0,070251;-0,823486;0,284729;132,4101;-49,45671;23,09617;0;0;0;0,1827349;-0,3944961;-0,02289396;0,9002537;0,1827349;-0,3944961;-0,02289396;0,9002537;0,3581121;-0,7116042;-0,3140081;0,5165019;0,2899146;0,2549246;0,5103137;0,7684679;-0,2905039;0,8966214;0,2319545;-0,2405717;0,1645218;0,5920784;0,1456125;0,7753533;-0,3173693;0,8989087;0,2308033;-0,1948586;-0,005331294;0,6528627;-0,04262861;0,7562571;0;0;0;1;0;0;0;1;-0,005331294;0,6528627;-0,04262861;0,7562571;-0,3173693;0,8989087;0,2308033;-0,1948586
1;8;194;0;0;0;0;0;0;0;0;0;0;0;0;-0,607367;-0,197606;9,448732;-0,759959;0,392298;0,518343;0,485718;-0,070251;-0,823486;0,284729;132,4101;-49,45671;23,09617;0;0;0;0,1827349;-0,3944961;-0,02289396;0,9002537;0,1827349;-0,3944961;-0,02289396;0,9002537;0,3581121;-0,7116042;-0,3140081;0,5165019;0,2899146;0,2549246;0,5103137;0,7684679;-0,2905039;0,8966214;0,2319545;-0,2405717;0,1645218;0,5920784;0,1456125;0,7753533;-0,3173693;0,8989087;0,2308033;-0,1948586;-0,005331294;0,6528627;-0,04262861;0,7562571;0;0;0;1;0;0;0;1;-0,005331294;0,6528627;-0,04262861;0,7562571;-0,3173693;0,8989087;0,2308033;-0,1948586
1;8;205;0,5042394;-0,8037118;1,105482;0,02517365;-0,8788014;1,006993;0,3274222;0,0530191;0,9753374;0,254967;-0,153593;0,8942768;-0,607367;-0,197606;9,448732;-0,759959;0,392298;0,518343;0,485718;-0,070251;-0,823486;0,284729;132,4101;-49,45671;23,09617;0;0;0;0,1825977;-0,3946028;-0,02295145;0,9002333;0,1825977;-0,3946028;-0,02295145;0,9002333;0,3581693;-0,7116543;-0,3140339;0,5163774;0,2900155;0,2546515;0,5107952;0,7682005;-0,2904718;0,8967787;0,2318405;-0,2401334;0,1643463;0,5920351;0,1453969;0,7754641;-0,3168056;0,8994761;0,2303615;-0,1936764;-0,00520866;0,6532465;-0,04215031;0,7559533;0;0;0;1;0;0;0;1;-0,00520866;0,6532465;-0,04215031;0,7559533;-0,3168056;0,8994761;0,2303615;-0,1936764
1;8;213;0;0;0;0;0;0;0;0;0;0;0;0;-0,607367;-0,197606;9,448732;-0,759959;0,392298;0,518343;0,485718;-0,070251;-0,823486;0,284729;132,4101;-49,45671;23,09617;0;0;0;0,1825977;-0,3946028;-0,02295145;0,9002333;0,1825977;-0,3946028;-0,02295145;0,9002333;0,3581693;-0,7116543;-0,3140339;0,5163774;0,2900155;0,2546515;0,5107952;0,7682005;-0,2904718;0,8967787;0,2318405;-0,2401334;0,1643463;0,5920351;0,1453969;0,7754641;-0,3168056;0,8994761;0,2303615;-0,1936764;-0,00520866;0,6532465;-0,04215031;0,7559533;0;0;0;1;0;0;0;1;-0,00520866;0,6532465;-0,04215031;0,7559533;-0,3168056;0,8994761;0,2303615;-0,1936764
1;8;223;0;0;0;0;0;0;0;0;0;0;0;0;-0,664345;-0,214579;9,494801;-0,759956;0,392043;0,51838;0,485718;-0,069824;-0,823303;0,285217;132,2874;-49,46203;23,08232;-0,1226959;-0,005317688;-0,01385117;0,1825977;-0,3946028;-0,02295145;0,9002333;0,1825977;-0,3946028;-0,02295145;0,9002333;0,3581693;-0,7116543;-0,3140339;0,5163774;0,2900155;0,2546515;0,5107952;0,7682005;-0,2904718;0,8967787;0,2318405;-0,2401334;0,1643463;0,5920351;0,1453969;0,7754641;-0,3168056;0,8994761;0,2303615;-0,1936764;-0,00520866;0,6532465;-0,04215031;0,7559533;0;0;0;1;0;0;0;1;-0,00520866;0,6532465;-0,04215031;0,7559533;-0,3168056;0,8994761;0,2303615;-0,1936764
