"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.698995053E0,1.752691343E-2,-8.675239980E-3,-5.886580050E-2
4.753140313E0,-3.040994331E-2,-4.276366904E-2,3.381212801E-2
4.807321094E0,1.539638638E-2,-2.358892933E-2,1.889844052E-2
4.861501407E0,-1.284141988E-1,-8.750473708E-2,4.126897454E-2
4.915715990E0,-1.039131284E-1,2.008687519E-2,5.192160606E-2
4.969855417E0,-1.678289473E-1,-3.743735328E-2,1.808184981E-1
5.024062032E0,-3.638373911E-1,-4.177364409E-1,2.340816706E-1
5.078259011E0,-4.469279349E-1,-3.495595455E-1,8.920583129E-2
5.132405261E0,-6.875943393E-2,2.448574752E-1,3.885448575E-1
5.186620365E0,1.027479917E-1,3.716238439E-1,8.466081619E-1
5.240793542E0,1.869038045E-1,5.186302066E-1,1.125707269E0
5.294974323E0,2.593417466E-1,8.936029673E-1,1.208797812E0
5.349150678E0,3.179312348E-1,8.691018820E-1,1.219450474E0
5.403335105E0,5.405712724E-1,1.054457664E0,1.207732558E0
5.457490938E0,8.526934981E-1,1.145005107E0,1.336629391E0
5.511671511E0,8.079524636E-1,9.777587056E-1,1.256734729E0
5.565885469E0,5.288534164E-1,7.668365836E-1,1.206667304E0
5.620055990E0,3.158007264E-1,9.095818996E-1,1.176839948E0
5.674210313E0,2.934301794E-1,9.053208828E-1,1.061791539E0
5.728392032E0,7.505114377E-2,6.070470214E-1,1.049008250E0
5.782575417E0,2.359059155E-1,2.917290926E-1,7.773660421E-1
5.836754792E0,2.731902003E-1,2.853374779E-1,4.173069894E-1
5.890936198E0,4.735429585E-2,6.695846468E-2,3.384774923E-1
5.945117188E0,3.457112983E-2,3.819635510E-2,3.512606621E-1
5.999298490E0,-5.597626790E-2,4.991425574E-2,2.021237761E-1
6.053479271E0,-2.295309864E-2,3.819635510E-2,-5.602620542E-3
6.107659271E0,-1.401320845E-1,-1.130710691E-1,-4.927842692E-2
6.161876250E0,-1.348057836E-1,-1.215931699E-1,-2.229163796E-1
6.216056823E0,-1.454584152E-1,-3.005574346E-1,-2.697879970E-1
6.270226042E0,-1.294794530E-1,-3.271890283E-1,-4.562090933E-1
6.324391303E0,-9.858681262E-2,-4.539553821E-1,-5.169290900E-1
6.378564375E0,-1.561110467E-1,-4.976311624E-1,-6.937628388E-1
6.432769636E0,-1.923300177E-1,-4.731301367E-1,-7.970933914E-1
6.486951459E0,-2.828773856E-1,-5.082838535E-1,-9.813839793E-1
6.541105469E0,-1.625026315E-1,-6.009618044E-1,-1.279657722E0
6.595313438E0,-2.796815634E-1,-8.321239948E-1,-1.411750436E0
6.649467500E0,-4.607763886E-1,-9.034965634E-1,-1.435186148E0
6.703684011E0,-7.963343859E-1,-1.262490392E0,-1.461817741E0
6.757829375E0,-1.063715458E0,-1.454237819E0,-1.422403097E0
6.812009948E0,-9.124481082E-1,-8.321239948E-1,-1.698306322E0
6.866191563E0,-8.602502346E-1,-8.885828853E-1,-1.608824253E0
6.920395990E0,-9.955387115E-1,-8.523639441E-1,-1.293506145E0
6.974547084E0,-8.613154888E-1,-4.827175140E-1,-1.059148192E0
7.028732917E0,-5.513237715E-1,-1.460942477E-1,-8.876407743E-1
7.082913490E0,-1.731552631E-1,4.032688215E-2,-8.823145032E-1
7.137095000E0,-1.891342103E-1,-1.578121334E-1,-8.588786721E-1
7.191275573E0,-2.157658041E-1,-1.109405383E-1,-9.110765457E-1
7.245492292E0,-3.073784411E-1,-2.440984696E-1,-7.395691872E-1
7.299664219E0,-4.160352945E-1,-5.157406926E-1,-4.380995929E-1
7.353844792E0,-2.317447662E-1,-1.897700280E-1,-1.621963531E-1
7.407997032E0,8.037745953E-2,2.203564197E-1,4.652438462E-1
7.462177240E0,-9.104674682E-3,-3.335806131E-1,1.248212457E0
7.516396563E0,4.372407496E-1,5.524057150E-2,1.141686201E0
7.570562553E0,-1.869204640E-2,1.478432536E0,2.937364280E-1
7.624737188E0,-8.899943531E-2,1.070436716E0,2.852143049E-1
7.678917448E0,-2.934468165E-2,-1.422279954E0,6.548607349E-1
7.733084219E0,-7.856817842E-1,-1.423345208E0,7.283639312E-1
7.787263750E0,-1.283159852E0,-6.787260175E-1,1.033029318E0
7.841478542E0,-1.561193705E0,-1.950963587E-1,6.559260488E-1
7.895627396E0,-1.664524198E0,7.231607437E-1,1.123576760E0
7.949807448E0,-3.362554073E0,2.544448376E-1,8.391513228E-1
8.003988282E0,-3.216613054E0,1.823577881E0,6.026628613E-1
8.058168594E0,-2.538040161E0,1.943952680E0,8.753703237E-1
8.112371875E0,-3.012082338E0,6.482794136E-2,-1.888279319E-1
8.166563959E0,-2.695699215E0,-1.721619010E0,-1.813710928E-1
8.220710938E0,-1.464254737E0,-3.218626976E-1,1.209863067E0
8.274897292E0,-1.309791446E0,-8.427765965E-1,3.981322348E-1
8.329057500E0,-7.164396048E-1,1.532448083E-1,2.617785037E-1
8.383251980E0,-4.638889804E-2,9.572058171E-2,5.298686773E-2
8.437432396E0,9.112829566E-1,2.967424877E-2,-5.126680732E-1
8.491613594E0,2.015961409E0,2.221740223E-2,-5.627354383E-1
8.545796355E0,3.625574589E0,4.760196805E-1,-2.729837596E-1
8.599977605E0,4.316930294E0,-2.283658599E-3,-8.045502305E-1
8.654180157E0,4.552353382E0,-3.943006396E-1,-9.377081394E-1
8.708359844E0,4.884715557E0,-1.045489609E-1,-1.238112450E0
8.762553021E0,3.144075394E0,4.291480482E-1,4.876143932E-1
8.816733178E0,1.908369541E0,7.359439135E-1,-1.941542625E-1
8.870915730E0,2.467633009E0,-8.217842132E-2,-2.690788917E-2
8.925063386E0,1.149901986E0,-1.791173965E-1,-1.621963531E-1
8.979249323E0,1.369346261E0,1.074384823E-1,7.535740733E-2
9.033450782E0,8.516282439E-1,-6.513420492E-2,1.179679483E-1
9.087604219E0,-1.124352366E-1,-7.791736722E-2,-1.611310840E-1
9.141820000E0,1.592069417E-1,3.971901834E-1,-3.805753589E-1
9.195966407E0,7.292061299E-2,2.778806388E-1,-3.326385319E-1
9.250145990E0,-4.532362893E-2,2.043774575E-1,-4.626006782E-1
9.304328021E0,1.070090458E-1,2.448574752E-1,-2.026763707E-1
9.358542500E0,-3.734247684E-1,-5.072185993E-1,-3.283774555E-1
9.412688907E0,-1.465236843E-1,1.053079516E-1,-2.069374174E-1
9.466902500E0,4.096271098E-2,7.015425712E-2,-6.419211626E-2
9.521048334E0,-3.999731317E-2,-1.599426717E-1,-7.804054022E-2
9.575258594E0,-4.745415971E-2,-6.406894326E-2,3.168160096E-2
9.629424896E0,1.208574697E-1,5.173185840E-3,-9.828054905E-2
9.683629167E0,-3.893205151E-2,1.049950346E-2,-3.649526089E-2
9.737807813E0,-8.580365032E-2,8.368976414E-3,-2.051630802E-2
9.791980313E0,3.031007387E-2,3.819635510E-2,3.061633743E-2
9.846136563E0,-5.908883642E-3,-5.980788544E-2,1.570264995E-2
9.900317032E0,-1.336572878E-2,9.572058171E-2,1.250685938E-2
9.954494584E0,3.678488079E-3,-6.726473570E-2,-8.798411116E-3
1.000867886E1,4.948482290E-2,6.695846468E-2,-1.199420169E-2
1.006285886E1,-2.786163390E-1,3.500056639E-2,7.322687656E-2
1.011707219E1,2.711428516E-2,5.204478279E-2,1.030542552E-1
