t;kinect_foot_right;;;kinect_foot_left;;;kinect_hand_right;;;kinect_hand_left;;;imu_acceleration;;;imu_orientation;;;;
t;x;y;z;x;y;z;x;y;z;x;y;z;x;y;z;w;x;y;z;
762;0,08488343;-0,3141984;1,153033;-0,2387885;-0,2428852;1,121025;-0,3692352;0,4254681;0,8347834;-0,2138798;-0,01564386;1,005483;-884;-2118;15262;0,287903;0,376221;0,069641;0,877808;
775;0;0;0;0;0;0;0;0;0;0;0;0;-884;-2118;15262;0,287903;0,376221;0,069641;0,877808;
791;0,08489265;-0,3148808;1,153178;-0,2460759;-0,2428193;1,117762;-0,4278807;0,3854592;0,9020633;-0,212928;-0,01709953;1,00487;-839;-1947;15281;0,285156;0,377502;0,065796;0,878479;
804;0;0;0;0;0;0;0;0;0;0;0;0;-839;-1947;15281;0,285156;0,377502;0,065796;0,878479;
818;0;0;0;0;0;0;0;0;0;0;0;0;-839;-1947;15281;0,285156;0,377502;0,065796;0,878479;
832;0,08488499;-0,3153431;1,153283;-0,2529089;-0,2429617;1,115184;-0,4598796;0,3622099;0,9375047;-0,2121793;-0,01821595;1,004403;-769;-1733;15348;0,280518;0,379578;0,05896;0,879578;
845;0;0;0;0;0;0;0;0;0;0;0;0;-769;-1733;15348;0,280518;0,379578;0,05896;0,879578;
862;0,08485776;-0,3156737;1,15336;-0,2565398;-0,2429197;1,113665;-0,4725688;0,3527933;0,9515967;-0,211561;-0,01908612;1,00402;-765;-1583;15391;0,277771;0,380859;0,05426;0,880188;
879;0;0;0;0;0;0;0;0;0;0;0;0;-765;-1583;15391;0,277771;0,380859;0,05426;0,880188;
897;0,08480122;-0,3159107;1,153425;-0,2591636;-0,2429079;1,112602;-0,4803388;0,3471052;0,9602612;-0,2110606;-0,01975409;1,003691;-765;-1583;15391;0,277771;0,380859;0,05426;0,880188;
910;0;0;0;0;0;0;0;0;0;0;0;0;-636;-1332;15484;0,272644;0,382996;0,046509;0,881348;
925;0,08470658;-0,3160529;1,153485;-0,2606278;-0,2410728;1,110596;-0,4848024;0,3432261;0,9650549;-0,2103579;-0,02059144;1,003132;-636;-1332;15484;0,272644;0,382996;0,046509;0,881348;
937;0;0;0;0;0;0;0;0;0;0;0;0;-614;-1239;15507;0,270386;0,383972;0,043274;0,881775;
950;0;0;0;0;0;0;0;0;0;0;0;0;-614;-1239;15507;0,270386;0,383972;0,043274;0,881775;
964;0,08457348;-0,3161089;1,153535;-0,2619018;-0,2402332;1,109491;-0,4855099;0,3415544;0,9657348;-0,2100785;-0,02099151;1,002856;-519;-1063;15542;0,266907;0,385437;0,03833;0,882385;
976;0;0;0;0;0;0;0;0;0;0;0;0;-519;-1063;15542;0,266907;0,385437;0,03833;0,882385;
991;0,08476802;-0,3155393;1,153074;-0,2629054;-0,2397549;1,108778;-0,4822475;0,3433217;0,9616776;-0,2098506;-0,0213073;1,00255;-439;-994;15590;0,264221;0,386292;0,035034;0,882996;
4;0;0;0;0;0;0;0;0;0;0;0;0;-439;-994;15590;0,264221;0,386292;0,035034;0,882996;
17;0;0;0;0;0;0;0;0;0;0;0;0;-400;-918;15591;0,260193;0,387207;0,029785;0,883972;
31;0,08393613;-0,3089164;1,151946;-0,2625405;-0,238065;1,107069;-0,4784854;0,345546;0,9587519;-0,2100591;-0,02090134;1,002118;-400;-918;15591;0,260193;0,387207;0,029785;0,883972;
44;0;0;0;0;0;0;0;0;0;0;0;0;-400;-918;15591;0,260193;0,387207;0,029785;0,883972;
59;0,08306478;-0,3005764;1,150849;-0,2160607;-0,2269938;1,124308;-0,4781097;0,3453307;0,9601533;-0,2103784;-0,0206905;1,001458;-315;-603;15506;0,254395;0,387939;0,019958;0,88562;
71;0;0;0;0;0;0;0;0;0;0;0;0;-315;-603;15506;0,254395;0,387939;0,019958;0,88562;
87;0,08212374;-0,2924223;1,149858;-0,1896745;-0,2204388;1,134332;-0,4516122;0,3218733;0,9236826;-0,2111131;-0,02189539;0,9981768;-241;-457;15510;0,251953;0,388245;0,016113;0,886231;
104;0;0;0;0;0;0;0;0;0;0;0;0;-241;-457;15510;0,251953;0,388245;0,016113;0,886231;
117;0;0;0;0;0;0;0;0;0;0;0;0;-54;-283;15574;0,24823;0,388489;0,010376;0,887268;
132;0,08120994;-0,2856539;1,148898;-0,179299;-0,2178116;1,13821;-0,4468516;0,3173019;0,9193757;-0,2117132;-0,02135064;0,997109;-54;-283;15574;0,24823;0,388489;0,010376;0,887268;
147;0;0;0;0;0;0;0;0;0;0;0;0;-54;-283;15574;0,24823;0,388489;0,010376;0,887268;
165;0,0803966;-0,2806814;1,148082;-0,2597571;-0,2201733;1,186876;-0,4434906;0,3142649;0,9186757;-0,2169833;0,03860506;1,016893;366;-49;15701;0,241455;0,387695;0,001404;0,889526;
182;0;0;0;0;0;0;0;0;0;0;0;0;366;-49;15701;0,241455;0,387695;0,001404;0,889526;
201;0,07969232;-0,2770379;1,147421;-0,2901057;-0,2201323;1,208872;-0,4420544;0,314913;0,9272617;-0,218872;0,06313854;1,024619;366;-49;15701;0,241455;0,387695;0,001404;0,889526;
215;0;0;0;0;0;0;0;0;0;0;0;0;485;287;15993;0,231873;0,385742;-0,006531;0,892944;
230;0,0790778;-0,2742461;1,146897;-0,3077799;-0,2207972;1,218511;-0,442238;0,3203961;0,944793;-0,2371735;0,09755257;0,9290183;485;287;15993;0,231873;0,385742;-0,006531;0,892944;
243;0;0;0;0;0;0;0;0;0;0;0;0;485;287;15993;0,231873;0,385742;-0,006531;0,892944;
259;0,0785681;-0,2721086;1,146511;-0,3176332;-0,2210187;1,223833;-0,4486601;0,3465313;0,9765651;-0,2431898;0,1142555;0,9041519;301;791;16370;0,219299;0,38147;-0,013855;0,897827;
271;0;0;0;0;0;0;0;0;0;0;0;0;301;791;16370;0,219299;0,38147;-0,013855;0,897827;
286;0,07809654;-0,2705993;1,146176;-0,3236439;-0,2212037;1,226176;-0,4491107;0,3520657;0,9814642;-0,2483313;0,1254923;0,8796431;195;1012;16459;0,213623;0,378784;-0,016541;0,900269;
299;0;0;0;0;0;0;0;0;0;0;0;0;195;1012;16459;0,213623;0,378784;-0,016541;0,900269;
316;0;0;0;0;0;0;0;0;0;0;0;0;15;1153;16522;0,203674;0,373657;-0,020386;0,904663;
335;0,07759402;-0,2694849;1,145841;-0,3229785;-0,2208956;1,219112;-0,448723;0,3565929;0,9830995;-0,2508592;0,1327527;0,8682326;15;1153;16522;0,203674;0,373657;-0,020386;0,904663;
352;0;0;0;0;0;0;0;0;0;0;0;0;15;1153;16522;0,203674;0,373657;-0,020386;0,904663;
367;0,07712958;-0,2686776;1,145546;-0,3188423;-0,2212734;1,210123;-0,3914357;0,3543176;0,8539562;-0,2522132;0,1462112;0,8640302;-465;1492;16223;0,186401;0,362;-0,028503;0,912842;
380;0;0;0;0;0;0;0;0;0;0;0;0;-465;1492;16223;0,186401;0,362;-0,028503;0,912842;
395;0,07662759;-0,2680589;1,145217;-0,3207348;-0,2228928;1,205868;-0,4001687;0,4087957;0,9644036;-0,2394236;0,08879425;0,9783093;-676;1742;15970;0,179504;0,356384;-0,032654;0,916321;
408;0;0;0;0;0;0;0;0;0;0;0;0;-676;1742;15970;0,179504;0,356384;-0,032654;0,916321;
423;0,07619212;-0,2673673;1,144972;-0,3215998;-0,2251499;1,201199;-0,3875024;0,4263287;0,9598997;-0,2370883;0,07999668;1,002037;-676;1742;15970;0,179504;0,356384;-0,032654;0,916321;
436;0;0;0;0;0;0;0;0;0;0;0;0;-1201;2460;15246;0,160645;0,341675;-0,044312;0,924866;
457;0,07581463;-0,2666598;1,144739;-0,3220765;-0,2262968;1,197595;-0,38449;0,441795;0,9780098;-0,2351842;0,07157669;1,020343;-1201;2460;15246;0,160645;0,341675;-0,044312;0,924866;
471;0;0;0;0;0;0;0;0;0;0;0;0;-1201;2460;15246;0,160645;0,341675;-0,044312;0,924866;
490;0,07554469;-0,2658924;1,144539;-0,3230028;-0,2276509;1,194889;-0,3716722;0,4513984;0,9811001;-0,2341082;0,06671646;1,0313;-1965;3223;14299;0,135193;0,322632;-0,061157;0,934753;
507;0;0;0;0;0;0;0;0;0;0;0;0;-1965;3223;14299;0,135193;0,322632;-0,061157;0,934753;
525;0,07545274;-0,2649122;1,144374;-0,3242092;-0,2296067;1,192307;-0,3663993;0,4578743;0,9850363;-0,2334536;0,06522401;1,03708;-2145;3495;14013;0,126587;0,315491;-0,067566;0,937988;
538;0;0;0;0;0;0;0;0;0;0;0;0;-2145;3495;14013;0,126587;0,315491;-0,067566;0,937988;
551;0;0;0;0;0;0;0;0;0;0;0;0;-2145;3495;14013;0,126587;0,315491;-0,067566;0,937988;
565;0,06557706;-0,2753856;1,138753;-0,3277162;-0,2326113;1,189873;-0,3630115;0,4623921;0,9879046;-0,2329981;0,06661608;1,03604;-2522;4095;13138;0,104187;0,295471;-0,084045;0,945862;
578;0;0;0;0;0;0;0;0;0;0;0;0;-2522;4095;13138;0,104187;0,295471;-0,084045;0,945862;
592;0,0575182;-0,2840369;1,133898;-0,3665369;-0,199948;1,227575;-0,3606012;0,4655969;0,9899713;-0,2512408;-0,02319759;1,048773;-2627;4283;12522;0,089783;0,281921;-0,094666;0,950501;
606;0;0;0;0;0;0;0;0;0;0;0;0;-2627;4283;12522;0,089783;0,281921;-0,094666;0,950501;
619;0;0;0;0;0;0;0;0;0;0;0;0;-2656;4513;12126;0,080566;0,272217;-0,102356;0,953308;
634;0,05156583;-0,2903395;1,130179;-0,3825105;-0,1861301;1,243138;-0,3588718;0,4679086;0,9915268;-0,383695;-0,08374669;1,195124;-2656;4513;12126;0,080566;0,272217;-0,102356;0,953308;
646;0;0;0;0;0;0;0;0;0;0;0;0;-2536;4811;11560;0,066528;0,256897;-0,114014;0,957336;
661;0,04675823;-0,2950276;1,127146;-0,3907738;-0,1785327;1,25082;-0,3576666;0,4697612;0,9929698;-0,4224799;-0,1159191;1,23773;-2536;4811;11560;0,066528;0,256897;-0,114014;0,957336;
673;0;0;0;0;0;0;0;0;0;0;0;0;-2508;4982;11149;0,056885;0,246826;-0,121826;0,959656;
687;0;0;0;0;0;0;0;0;0;0;0;0;-2508;4982;11149;0,056885;0,246826;-0,121826;0,959656;
701;0,04285498;-0,2974472;1,124807;-0,3946956;-0,1722135;1,255687;-0,3569027;0,4711379;0,9942357;-0,4336531;-0,1036609;1,243248;-2401;5259;10578;0,042053;0,232666;-0,133728;0,962341;
714;0;0;0;0;0;0;0;0;0;0;0;0;-2401;5259;10578;0,042053;0,232666;-0,133728;0,962341;
733;0,0400824;-0,2990904;1,123195;-0,38695;-0,1806736;1,234205;-0,3589239;0,4751149;1,00019;-0,4409049;-0,09622054;1,238416;-2315;5503;10092;0,0271;0,220276;-0,146057;0,96405;
745;0;0;0;0;0;0;0;0;0;0;0;0;-2315;5503;10092;0,0271;0,220276;-0,146057;0,96405;
761;0,03805741;-0,3002305;1,12206;-0,3850746;-0,1828829;1,227844;-0,3631292;0,4842381;1,01163;-0,4473338;-0,08793524;1,232883;-2315;5503;10092;0,0271;0,220276;-0,146057;0,96405;
774;0;0;0;0;0;0;0;0;0;0;0;0;-1896;5896;9457;0,005676;0,201721;-0,167297;0,965027;
788;0;0;0;0;0;0;0;0;0;0;0;0;-1896;5896;9457;0,005676;0,201721;-0,167297;0,965027;
802;0,0366437;-0,3010096;1,121309;-0,3838193;-0,1839016;1,223435;-0,3667795;0,4924315;1,021634;-0,4511502;-0,07761879;1,222934;-1637;6223;9161;-0,002258;0,194824;-0,175171;0,965027;
814;0;0;0;0;0;0;0;0;0;0;0;0;-1637;6223;9161;-0,002258;0,194824;-0,175171;0,965027;
829;0,03562684;-0,3015254;1,120821;-0,381074;-0,1888454;1,216579;-0,3695143;0,4984499;1,029014;-0,444318;-0,0646588;1,203211;-1439;6426;8748;-0,016724;0,186951;-0,186035;0,964417;
842;0;0;0;0;0;0;0;0;0;0;0;0;-1439;6426;8748;-0,016724;0,186951;-0,186035;0,964417;
857;0,03486998;-0,3018315;1,120514;-0,3788364;-0,1933828;1,211221;-0,371504;0,5028704;1,034533;-0,4400036;-0,05784044;1,186614;-1439;6426;8748;-0,016724;0,186951;-0,186035;0,964417;
869;0;0;0;0;0;0;0;0;0;0;0;0;-1398;6289;8226;-0,03772;0,173706;-0,205322;0,962402;
883;0;0;0;0;0;0;0;0;0;0;0;0;-1398;6289;8226;-0,03772;0,173706;-0,205322;0,962402;
897;0,03434759;-0,3019252;1,120474;-0,3772148;-0,196954;1,20737;-0,3730064;0,5062114;1,038769;-0,437448;-0,05438583;1,172167;-1310;6410;7903;-0,04187;0,166321;-0,21344;0,961731;
909;0;0;0;0;0;0;0;0;0;0;0;0;-1310;6410;7903;-0,04187;0,166321;-0,21344;0,961731;
924;0,03398949;-0,3018803;1,120641;-0,3760613;-0,1995484;1,204592;-0,3742368;0,508666;1,042051;-0,4360854;-0,05198422;1,161715;-989;6771;7493;-0,04718;0,154053;-0,225525;0,960815;
941;0;0;0;0;0;0;0;0;0;0;0;0;-989;6771;7493;-0,04718;0,154053;-0,225525;0,960815;
957;0,03378426;-0,3016894;1,121076;-0,3754418;-0,2013277;1,202733;-0,3752571;0,5104496;1,044585;-0,4355745;-0,05000852;1,154163;-989;6771;7493;-0,04718;0,154053;-0,225525;0,960815;
969;0;0;0;0;0;0;0;0;0;0;0;0;-607;7119;6424;-0,063293;0,133606;-0,241455;0,959045;
982;0;0;0;0;0;0;0;0;0;0;0;0;-607;7119;6424;-0,063293;0,133606;-0,241455;0,959045;
997;0,03364172;-0,3013528;1,121823;-0,3751117;-0,2028825;1,201365;-0,3760707;0,5117503;1,046567;-0,4354135;-0,04856957;1,14821;-610;6864;5901;-0,077209;0,123718;-0,25116;0,956848;
10;0;0;0;0;0;0;0;0;0;0;0;0;-610;6864;5901;-0,077209;0,123718;-0,25116;0,956848;
24;0,03335181;-0,3010443;1,122706;-0,3724734;-0,2007542;1,197317;-0,3767923;0,5126999;1,048175;-0,4353997;-0,0475016;1,143106;-504;6854;5726;-0,084839;0,116211;-0,25769;0,955444;
36;0;0;0;0;0;0;0;0;0;0;0;0;-504;6854;5726;-0,084839;0,116211;-0,25769;0,955444;
49;0;0;0;0;0;0;0;0;0;0;0;0;-328;6898;5210;-0,093384;0,102966;-0,26648;0,953735;
64;0,03292003;-0,3007693;1,123711;-0,3698105;-0,1909112;1,189437;-0,3774757;0,5133852;1,049519;-0,4354873;-0,04669537;1,138755;-328;6898;5210;-0,093384;0,102966;-0,26648;0,953735;
77;0;0;0;0;0;0;0;0;0;0;0;0;-178;6881;4816;-0,09906;0,093872;-0,27179;0,952637;
91;0,03221545;-0,3006299;1,124903;-0,3586395;-0,1403367;1,179948;-0,378106;0,5138578;1,050638;-0,4355522;-0,0461826;1,134815;-178;6881;4816;-0,09906;0,093872;-0,27179;0,952637;
104;0;0;0;0;0;0;0;0;0;0;0;0;-79;6854;4375;-0,108887;0,080444;-0,279114;0,950623;
116;0;0;0;0;0;0;0;0;0;0;0;0;-79;6854;4375;-0,108887;0,080444;-0,279114;0,950623;
132;0,03131415;-0,3006098;1,126192;-0,3570935;-0,1321365;1,177486;-0,05107047;0,3974845;0,8740709;-0,4354534;-0,0458503;1,131275;-116;6691;4150;-0,115234;0,071472;-0,283752;0,949219;
158;0,03016499;-0,3007539;1,127525;-0,355571;-0,1218078;1,176359;0,02669144;0,3711768;0,8339639;-0,4348272;-0,04564825;1,127454;-116;6691;4150;-0,115234;0,071472;-0,283752;0,949219;
171;0;0;0;0;0;0;0;0;0;0;0;0;-116;6691;4150;-0,115234;0,071472;-0,283752;0,949219;
184;0;0;0;0;0;0;0;0;0;0;0;0;-31;6472;3544;-0,125244;0,049072;-0,293213;0,946533;
201;0,02866609;-0,3010965;1,128839;-0,3555923;-0,1172634;1,176131;0,08247218;0,3535132;0,8074751;-0,4335792;-0,04552922;1,123446;-31;6472;3544;-0,125244;0,049072;-0,293213;0,946533;
214;0;0;0;0;0;0;0;0;0;0;0;0;-31;6472;3544;-0,125244;0,049072;-0,293213;0,946533;
230;0,02716608;-0,3015392;1,130349;-0,3654591;-0,1706607;1,178347;0,1009837;0,3531927;0,8058199;-0,4313295;-0,04555356;1,118833;-20;6334;2994;-0,133606;0,029053;-0,30188;0,943481;
244;0;0;0;0;0;0;0;0;0;0;0;0;-20;6334;2994;-0,133606;0,029053;-0,30188;0,943481;
259;0,02603511;-0,3020196;1,132001;-0,3715362;-0,2033811;1,180078;0,1037679;0,3565706;0,8171591;-0,4275578;-0,0454387;1,113226;298;6464;2582;-0,137024;0,018311;-0,307617;0,941406;
274;0;0;0;0;0;0;0;0;0;0;0;0;298;6464;2582;-0,137024;0,018311;-0,307617;0,941406;
292;0,02504158;-0,3025602;1,133584;-0,3741431;-0,2160833;1,180984;0,1143895;0,3591772;0,8245164;-0,4235488;-0,04515552;1,108127;298;6464;2582;-0,137024;0,018311;-0,307617;0,941406;
304;0;0;0;0;0;0;0;0;0;0;0;0;229;6469;2515;-0,146606;0,004333;-0,317688;0,936768;
317;0;0;0;0;0;0;0;0;0;0;0;0;229;6469;2515;-0,146606;0,004333;-0,317688;0,936768;
333;0,02427243;-0,3031908;1,135418;-0,3756465;-0,223309;1,181433;0,09428083;0,372714;0,8528907;-0,419582;-0,0446906;1,103736;90;6224;2264;-0,151245;-0,000854;-0,32251;0,934387;
349;0;0;0;0;0;0;0;0;0;0;0;0;90;6224;2264;-0,151245;-0,000854;-0,32251;0,934387;
364;0,02618417;-0,3030661;1,140253;-0,3768055;-0,2281247;1,181933;0,08637483;0,3808964;0,8693566;-0,4163644;-0,04429678;1,10041;90;6224;2264;-0,151245;-0,000854;-0,32251;0,934387;
376;0;0;0;0;0;0;0;0;0;0;0;0;602;6525;1671;-0,154785;-0,016785;-0,331909;0,930359;
391;0,03579207;-0,2990097;1,154362;-0,3776646;-0,2302832;1,182622;0,08125402;0,3928776;0,8790158;-0,4131378;-0,04395587;1,097461;602;6525;1671;-0,154785;-0,016785;-0,331909;0,930359;
402;0;0;0;0;0;0;0;0;0;0;0;0;662;6435;1352;-0,158813;-0,024536;-0,338257;0,927185;
416;0;0;0;0;0;0;0;0;0;0;0;0;662;6435;1352;-0,158813;-0,024536;-0,338257;0,927185;
430;0,04340813;-0,2966206;1,164463;-0,3781523;-0,2317345;1,183514;0,0729287;0,4096223;0,8796862;-0,4102074;-0,04362795;1,094908;633;6266;1049;-0,160584;-0,030151;-0,342041;0,925354;
443;0;0;0;0;0;0;0;0;0;0;0;0;633;6266;1049;-0,160584;-0,030151;-0,342041;0,925354;
458;0,05016489;-0,2946292;1,172865;-0,3783164;-0,2339703;1,184298;0,07298667;0,4212395;0,8809307;-0,4076418;-0,04330567;1,09272;848;6217;528;-0,161865;-0,038574;-0,347656;0,92273;
471;0;0;0;0;0;0;0;0;0;0;0;0;848;6217;528;-0,161865;-0,038574;-0,347656;0,92273;
483;0;0;0;0;0;0;0;0;0;0;0;0;989;6224;283;-0,162659;-0,043152;-0,351685;0,920837;
499;0,05507121;-0,2933628;1,178667;-0,3785056;-0,2341347;1,18498;0,08086488;0,4323242;0,8823532;-0,4056012;-0,04301253;1,090954;989;6224;283;-0,162659;-0,043152;-0,351685;0,920837;
511;0;0;0;0;0;0;0;0;0;0;0;0;989;6224;283;-0,162659;-0,043152;-0,351685;0,920837;
526;0,05846523;-0,2926708;1,182593;-0,3785816;-0,233397;1,185604;0,0915788;0,4404986;0,8853642;-0,4036855;-0,04270359;1,089222;1225;6223;181;-0,164734;-0,054443;-0,363831;0,915161;
539;0;0;0;0;0;0;0;0;0;0;0;0;1225;6223;181;-0,164734;-0,054443;-0,363831;0,915161;
558;0,06089895;-0,2922397;1,185419;-0,3786736;-0,2305008;1,186038;0,1073804;0,449127;0,9017558;-0,401879;-0,04240205;1,087504;1300;6170;57;-0,165588;-0,058167;-0,367676;0,913208;
571;0;0;0;0;0;0;0;0;0;0;0;0;1300;6170;57;-0,165588;-0,058167;-0,367676;0,913208;
584;0;0;0;0;0;0;0;0;0;0;0;0;1342;6040;-79;-0,167542;-0,063049;-0,374329;0,909851;
599;0,06265555;-0,2919701;1,187422;-0,3787725;-0,2253298;1,186149;0,1224972;0,4545694;0,9164622;-0,3998339;-0,04202567;1,085519;1342;6040;-79;-0,167542;-0,063049;-0,374329;0,909851;
611;0;0;0;0;0;0;0;0;0;0;0;0;1417;6099;-102;-0,16864;-0,066101;-0,379028;0,907471;
629;0,06395866;-0,2918009;1,188893;-0,3795736;-0,2178346;1,186564;0,1353899;0,4568781;0,9297091;-0,3977813;-0,04164816;1,083396;1417;6099;-102;-0,16864;-0,066101;-0,379028;0,907471;
641;0;0;0;0;0;0;0;0;0;0;0;0;1417;6099;-102;-0,16864;-0,066101;-0,379028;0,907471;
655;0;0;0;0;0;0;0;0;0;0;0;0;1644;6140;-313;-0,170654;-0,07373;-0,39148;0,901245;
670;0,06493162;-0,2916971;1,189983;-0,3802709;-0,2129569;1,186725;0,1460232;0,4567934;0,9414276;-0,3955049;-0,04133653;1,080954;1644;6140;-313;-0,170654;-0,07373;-0,39148;0,901245;
683;0;0;0;0;0;0;0;0;0;0;0;0;1804;6098;-461;-0,171631;-0,078308;-0,399719;0,897034;
698;0,0656594;-0,2916424;1,19078;-0,3811972;-0,2088807;1,186962;0,1575596;0,4552907;0,9530947;-0,3935483;-0,04112424;1,078789;1804;6098;-461;-0,171631;-0,078308;-0,399719;0,897034;
710;0;0;0;0;0;0;0;0;0;0;0;0;1995;6147;-547;-0,172119;-0,081482;-0,40564;0,893982;
726;0,06618547;-0,2916106;1,19136;-0,3815228;-0,2064206;1,186504;0,1670506;0,4532005;0,9627625;-0,3916759;-0,04095174;1,076613;1995;6147;-547;-0,172119;-0,081482;-0,40564;0,893982;
742;0;0;0;0;0;0;0;0;0;0;0;0;2258;6198;-703;-0,173523;-0,085815;-0,415344;0,888794;
766;0,06664327;-0,291779;1,1918;-0,382011;-0,1976006;1,183212;0,1774247;0,4498213;0,9729757;-0,3900118;-0,04078262;1,074526;2258;6198;-703;-0,173523;-0,085815;-0,415344;0,888794;
779;0;0;0;0;0;0;0;0;0;0;0;0;2258;6198;-703;-0,173523;-0,085815;-0,415344;0,888794;
795;0,06715348;-0,2919327;1,192648;-0,3842435;-0,1936469;1,177602;0,1873228;0,4458365;0,9826108;-0,3883008;-0,04057667;1,072214;2648;6314;-876;-0,176575;-0,092773;-0,432312;0,879395;
808;0;0;0;0;0;0;0;0;0;0;0;0;2648;6314;-876;-0,176575;-0,092773;-0,432312;0,879395;
822;0,06767531;-0,2920226;1,194097;-0,3911355;-0,181762;1,176656;0,2003752;0,4380351;0,9876809;-0,3865015;-0,04034219;1,069747;2648;6314;-876;-0,176575;-0,092773;-0,432312;0,879395;
842;0;0;0;0;0;0;0;0;0;0;0;0;3123;6217;-1154;-0,178345;-0,101196;-0,449585;0,869385;
858;0;0;0;0;0;0;0;0;0;0;0;0;3123;6217;-1154;-0,178345;-0,101196;-0,449585;0,869385;
871;0,06830708;-0,2918263;1,196507;-0,3959736;-0,1741998;1,176199;0,22107;0,4223623;0,995959;-0,3843786;-0,04024018;1,066914;3123;6217;-1154;-0,178345;-0,101196;-0,449585;0,869385;
884;0;0;0;0;0;0;0;0;0;0;0;0;3613;5999;-1451;-0,180542;-0,109619;-0,467712;0,858276;
901;0,06907422;-0,2912208;1,19977;-0,397234;-0,1711154;1,175403;0,2191372;0,3969996;1,036384;-0,3820595;-0,0402632;1,063876;3613;5999;-1451;-0,180542;-0,109619;-0,467712;0,858276;
914;0;0;0;0;0;0;0;0;0;0;0;0;3865;5983;-1688;-0,180359;-0,115479;-0,478455;0,851563;
929;0,06982996;-0,2903644;1,203425;-0,3980031;-0,1689106;1,174754;0,221063;0,386268;1,057836;-0,3796316;-0,04049329;1,06077;3865;5983;-1688;-0,180359;-0,115479;-0,478455;0,851563;
941;0;0;0;0;0;0;0;0;0;0;0;0;4196;5792;-2009;-0,17804;-0,122803;-0,488709;0,845215;
956;0;0;0;0;0;0;0;0;0;0;0;0;4196;5792;-2009;-0,17804;-0,122803;-0,488709;0,845215;
974;0,07039025;-0,289471;1,206807;-0,3983952;-0,1673738;1,174213;0,2245316;0,3816682;1,069603;-0,3771625;-0,04085743;1,057639;4508;5657;-2145;-0,17572;-0,127808;-0,495483;0,841003;
986;0;0;0;0;0;0;0;0;0;0;0;0;4508;5657;-2145;-0,17572;-0,127808;-0,495483;0,841003;
0;0,0708055;-0,2886167;1,209832;-0,3984611;-0,166318;1,173731;0,2296963;0,3804568;1,078292;-0,3757861;-0,03783411;1,057147;4508;5657;-2145;-0,17572;-0,127808;-0,495483;0,841003;
14;0;0;0;0;0;0;0;0;0;0;0;0;5032;5507;-1956;-0,168091;-0,139099;-0,513184;0,830078;
29;0,07111736;-0,2878091;1,212562;-0,3984793;-0,1660916;1,173064;0,2374696;0,3831107;1,084374;-0,3743971;-0,03487269;1,056526;5032;5507;-1956;-0,168091;-0,139099;-0,513184;0,830078;
43;0;0;0;0;0;0;0;0;0;0;0;0;5223;5635;-1732;-0,162048;-0,145325;-0,523743;0,823608;
57;0;0;0;0;0;0;0;0;0;0;0;0;5223;5635;-1732;-0,162048;-0,145325;-0,523743;0,823608;
70;0,07134299;-0,2871004;1,214944;-0,3984435;-0,1663083;1,172427;0,2466746;0,3875802;1,087885;-0,3730041;-0,03241095;1,055453;5428;5627;-1742;-0,157959;-0,149353;-0,530518;0,819336;
83;0;0;0;0;0;0;0;0;0;0;0;0;5428;5627;-1742;-0,157959;-0,149353;-0,530518;0,819336;
98;0,07149435;-0,2864933;1,216971;-0,3984925;-0,1666719;1,171939;0,2566595;0,3926013;1,089694;-0,371097;-0,02979947;1,05332;5653;5559;-1795;-0,152527;-0,154175;-0,540955;0,812622;
111;0;0;0;0;0;0;0;0;0;0;0;0;5653;5559;-1795;-0,152527;-0,154175;-0,540955;0,812622;
126;0,07158382;-0,2859837;1,218667;-0,3956364;-0,222458;1,165544;0,2670551;0,3973686;1,090596;-0,3685811;-0,02659186;1,049444;5750;5703;-1736;-0,147217;-0,157043;-0,552673;0,805115;
139;0;0;0;0;0;0;0;0;0;0;0;0;5750;5703;-1736;-0,147217;-0,157043;-0,552673;0,805115;
151;0;0;0;0;0;0;0;0;0;0;0;0;5874;5824;-1582;-0,143494;-0,158691;-0,561096;0,799622;
167;0,07163047;-0,2855574;1,220106;-0,3941287;-0,2475598;1,16288;0,2775648;0,4013998;1,091225;-0,3651123;-0,02254371;1,042863;5874;5824;-1582;-0,143494;-0,158691;-0,561096;0,799622;
185;0;0;0;0;0;0;0;0;0;0;0;0;5874;5824;-1582;-0,143494;-0,158691;-0,561096;0,799622;
200;0,07165048;-0,2852037;1,221311;-0,3930812;-0,2629341;1,161433;0,2886951;0,4044619;1,091884;-0,3605159;-0,01795353;1,03348;6277;5722;-1356;-0,132385;-0,166077;-0,58136;0,785461;
214;0;0;0;0;0;0;0;0;0;0;0;0;6277;5722;-1356;-0,132385;-0,166077;-0,58136;0,785461;
229;0,07165263;-0,284909;1,222344;-0,3923108;-0,272766;1,160624;0,3018612;0,4062591;1,092838;-0,3558323;-0,01388712;1,022671;6690;5629;-1437;-0,124329;-0,171936;-0,593201;0,776611;
242;0;0;0;0;0;0;0;0;0;0;0;0;6690;5629;-1437;-0,124329;-0,171936;-0,593201;0,776611;
256;0;0;0;0;0;0;0;0;0;0;0;0;7013;5539;-1336;-0,11853;-0,175598;-0,601501;0,770264;
270;0,07165109;-0,2846541;1,223255;-0,2224787;-0,2224792;1,101593;0,3148159;0,4055248;1,094562;-0,3507372;-0,01031313;1,010423;7013;5539;-1336;-0,11853;-0,175598;-0,601501;0,770264;
