Absolut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
time;hip-centerX;Y;Z;W;spineX;Y;Z;W;shoulder-centerX;Y;Z;W;headX;Y;Z;W;shoulder-leftX;Y;Z;W;elbow-leftX;Y;Z;W;wrist-leftX;Y;Z;W;hand-leftX;Y;Z;W;shoulder-rightX;Y;Z;W;elbow-rightX;Y;Z;W;wrist-rightX;Y;Z;W;hand-rightX;Y;Z;W;hip-leftX;Y;Z;W;knee-leftX;Y;Z;W;ankle-leftX;Y;Z;W;foot-leftX;Y;Z;W;hip-rightX;Y;Z;W;knee-rightX;Y;Z;W;ankle-rightX;Y;Z;W;foot-rightX;Y;Z;W
1607314467;-0.00216636;0.979129;0.0626503;0.193333;-0.0842182;0.924617;0.304025;0.213447;-0.00692843;0.971768;-0.0107114;0.235591;0.0654176;0.959673;-0.130673;0.240152;0.837857;-0.50794;0.184705;-0.0766603;0.693697;-0.683696;0.167702;-0.152381;0.71616;-0.674179;0.138086;-0.116321;0.711326;-0.688043;0.110737;-0.0913734;0.783044;0.560791;0.206033;0.172935;0.64753;0.525519;0.425815;-0.351022;0.628019;0.545464;0.368975;-0.414631;0.615977;0.559676;0.388849;-0.395136;0.908498;-0.365143;0.155734;-0.130575;0.980198;-0.0427032;0.193231;0.00703147;0.980808;-0.0250701;0.193075;0.0104776;0.87172;0.270509;0.270784;-0.30595;0.900273;0.384974;0.202435;0.0179621;0.979353;0.0329801;0.194906;-0.0423387;0.980155;0.00608863;0.194231;-0.0391629;0.842649;0.119919;0.181757;-0.49247
1607314467;0.0153736;0.979722;0.0679524;0.187857;-0.0711105;0.923141;0.323924;0.194493;0.0159516;0.977271;-0.0110224;0.211104;0.0557997;0.968082;-0.125673;0.209545;0.829348;-0.526109;0.171568;-0.0771771;0.702345;-0.680007;0.160903;-0.135689;0.700962;-0.673485;0.178307;-0.15257;-0.662732;0.713902;-0.163028;0.156691;0.798715;0.554657;0.177748;0.15105;0.669239;0.546465;0.416377;-0.283067;0.669843;0.548001;0.334117;-0.373325;0.546222;0.659439;0.244421;-0.455017;0.90299;-0.380396;0.14885;-0.133233;0.978271;-0.0838209;0.184854;-0.0423007;0.978145;-0.0891053;0.184177;-0.0370311;0.890615;0.216956;0.286743;-0.278412;0.909517;0.364515;0.199521;0.00994199;0.982292;0.0200429;0.185442;0.0176469;0.980127;0.0230587;0.185392;0.0667049;0.868673;0.156239;0.168102;-0.43902
1607314467;0.0346114;0.984119;0.0872363;0.150673;-0.033559;0.920996;0.359141;0.147165;0.0350122;0.985135;0.00507733;0.168098;0.0636542;0.977464;-0.117677;0.163293;0.837723;-0.524794;0.13284;-0.0718658;0.698553;-0.688826;0.139902;-0.134054;0.699377;-0.680037;0.159408;-0.151691;-0.672094;0.721268;-0.113087;0.12359;0.817253;0.546232;0.148443;0.108134;0.696008;0.541264;0.389701;-0.26597;0.693886;0.542207;0.298933;-0.367659;0.655795;0.587814;0.324395;-0.345219;0.899912;-0.399807;0.107166;-0.137215;0.983899;-0.0684395;0.147757;-0.0736688;0.986867;-0.0497342;0.146999;-0.044851;0.900151;-0.0253028;0.1398;-0.411757;0.921985;0.345878;0.172619;-0.022702;0.988882;-0.0232305;0.14624;0.0136358;0.987556;-0.0298599;0.145262;0.0523556;0.934736;0.298392;0.179057;-0.0718977
1607314468;0.0278054;0.982958;0.0924512;0.156438;-0.0564742;0.918433;0.362446;0.148072;0.0107666;0.986844;0.0120566;0.160868;0.0558064;0.979803;-0.104467;0.161114;0.845272;-0.51441;0.122662;-0.0764983;0.706804;-0.688337;0.109502;-0.120957;0.703131;-0.675888;0.150902;-0.161277;-0.675369;0.727204;-0.067835;0.102227;0.82057;0.543882;0.148559;0.0937387;0.711934;0.56529;0.348334;-0.228607;0.712977;0.56214;0.252573;-0.334469;0.708137;0.57114;0.272613;-0.313087;0.90263;-0.390177;0.111025;-0.143853;0.987388;-0.0310315;0.154129;-0.0186219;0.988062;0.00849475;0.152009;0.0235632;0.818883;-0.436412;-0.0668714;-0.366746;0.914782;0.360768;0.180185;-0.0235259;0.988015;-0.01917;0.153129;0.00322018;0.985053;-0.0601596;0.15367;0.0493589;0.914429;0.355101;0.190913;-0.0357062
1607314468;0.00222007;0.984185;0.0901713;0.15246;-0.0662749;0.916477;0.368964;0.139797;-0.00499346;0.98845;0.00629819;0.151331;0.014589;0.969112;-0.197611;0.146832;0.829254;-0.545759;0.104044;-0.0604975;0.713128;-0.678127;0.123665;-0.127668;0.714482;-0.663773;0.155426;-0.157365;-0.688364;0.712592;-0.084462;0.105993;0.805246;0.564909;0.14538;0.106401;0.708356;0.552666;0.344194;-0.272623;0.703938;0.550009;0.256162;-0.369246;0.739592;0.5094;0.253526;-0.3595;0.91154;-0.371106;0.107524;-0.140761;0.988095;-0.026035;0.151615;-0.00168146;0.988267;0.0173632;0.150483;0.0195373;0.844541;-0.491076;0.206439;0.0545732;0.908425;0.378668;0.175473;-0.0241745;0.986528;0.00961902;0.153287;-0.0563343;0.988119;-0.00220767;0.1536;0.00484226;0.869466;0.164155;0.185742;-0.427296
1607314469;0.001697;0.987043;0.087742;0.134329;-0.0445422;0.919463;0.373392;0.114815;0.0156021;0.990783;0.00299485;0.134524;0.0134464;0.953509;-0.278869;0.113456;0.817862;-0.565271;0.0936437;-0.0529366;0.710544;-0.684226;0.118338;-0.113836;0.716533;-0.662954;0.157895;-0.1488;-0.688747;0.712046;-0.0912996;0.101399;0.792715;0.588172;0.124363;0.100952;0.711439;0.527846;0.352795;-0.301279;0.691493;0.539342;0.268192;-0.398774;0.742698;0.482924;0.265689;-0.380254;0.912187;-0.377056;0.0908509;-0.132246;0.990355;-0.0364648;0.133603;-0.00429745;0.990986;0.0106517;0.132193;0.0189367;0.861915;-0.489112;0.101497;-0.0870043;0.913291;0.374374;0.157623;-0.0299655;0.989176;0.0456383;0.13597;-0.0309857;0.989581;0.029279;0.138622;0.0256076;-0.809471;-0.0135187;-0.0246038;0.586488
1607314469;0.0132372;0.991463;0.0866847;0.096493;-0.0284322;0.924672;0.366296;0.100008;0.0252478;0.992909;0.00085007;0.116159;0.0457103;0.974814;-0.189157;0.10894;0.82665;-0.556141;0.0785325;-0.0344817;0.711972;-0.684631;0.115387;-0.105181;0.714902;-0.671718;0.143279;-0.131078;-0.690235;0.713513;-0.0836988;0.0864286;0.805997;0.573835;0.110854;0.0937784;0.705447;0.496037;0.362206;-0.353693;0.665048;0.528293;0.298995;-0.434992;0.719255;0.471561;0.297813;-0.414258;0.91231;-0.388414;0.0563897;-0.116813;0.991908;-0.0811624;0.0939374;-0.0265737;0.98949;-0.112009;0.0914335;0.0020437;0.876332;-0.0272273;0.14842;-0.457463;0.921808;0.365301;0.122232;-0.0434103;0.994894;0.0291163;0.0959784;-0.0112173;0.994845;0.00969959;0.09747;0.0262439;-0.819284;-0.00753995;-0.0322411;0.572431
1607314469;0.0137013;0.989001;0.0958762;0.111791;-0.0371637;0.923868;0.364614;0.110196;0.0173637;0.992096;0.0122406;0.123673;0.0405773;0.985779;-0.108766;0.121505;0.847857;-0.520298;0.0876292;-0.0524326;0.709382;-0.692841;0.0854099;-0.0972338;0.717503;-0.671157;0.128258;-0.13523;-0.689388;0.716004;-0.0652201;0.0884869;0.82724;0.543093;0.121012;0.0779717;0.681865;0.520115;0.378009;-0.348783;0.670147;0.52389;0.308587;-0.425695;0.694546;0.493461;0.294346;-0.43297;0.909791;-0.38806;0.0670345;-0.131133;0.98991;-0.0894092;0.109744;-0.00641011;0.986938;-0.117345;0.107141;0.0265263;0.897544;0.0256185;0.185836;-0.399028;0.919159;0.365319;0.139947;-0.0458733;0.993468;0.0306148;0.109716;0.00687116;0.992583;0.0254821;0.110808;0.0430156;-0.836874;-0.0535523;-0.0553044;0.541956
1607314470;0.0118919;0.986962;0.100499;0.125158;-0.0493174;0.922289;0.363577;0.121503;0.00709121;0.990607;0.0187118;0.135265;0.0428667;0.989146;-0.0366444;0.13568;0.865892;-0.486214;0.0991458;-0.0632251;0.714749;-0.688759;0.0739848;-0.096287;0.729555;-0.6566;0.127811;-0.142443;-0.687168;0.715611;-0.068261;0.105078;0.835707;0.527629;0.133697;0.0729769;0.682228;0.535255;0.373495;-0.329498;0.678851;0.53184;0.304687;-0.404318;0.666872;0.542667;0.296643;-0.415689;0.910315;-0.381526;0.0782772;-0.140133;0.988649;-0.0852963;0.123543;0.00591257;0.985713;-0.109227;0.120927;0.0426163;0.938001;-0.0408971;0.157811;-0.305904;0.915854;0.368031;0.154155;-0.0447306;0.991887;0.0307898;0.122535;0.014014;0.990079;0.0359689;0.123135;0.0573423;-0.849966;-0.107956;-0.0869915;0.508268
1607314470;0.00962301;0.986206;0.104271;0.128192;-0.0511006;0.921271;0.366206;0.120587;0.00345993;0.990306;0.0262564;0.136356;0.030921;0.98991;-0.0222305;0.136481;0.871253;-0.475125;0.0993451;-0.0728374;0.720512;-0.682911;0.0674613;-0.0997183;0.741057;-0.649508;0.107446;-0.132024;-0.691213;0.717497;-0.0320281;0.0799751;0.840339;0.520508;0.137561;0.0630858;0.687738;0.539771;0.366454;-0.318394;0.682359;0.539209;0.298881;-0.392824;0.664397;0.556608;0.290566;-0.405383;0.910929;-0.378026;0.0798502;-0.14467;0.988382;-0.0835293;0.126766;0.00730806;0.986415;-0.095184;0.123033;0.0528075;0.951249;-0.0623244;0.1438;-0.265637;0.914478;0.369357;0.15838;-0.0471305;0.991488;0.0304647;0.125558;0.0160589;0.989422;0.0370806;0.126035;0.0615167;0.859503;0.13221;0.103937;-0.482671
1607314471;0.00678321;0.985761;0.108952;0.1279;-0.0530458;0.919161;0.372293;0.117164;0.00206458;0.990518;0.0333473;0.133262;0.0240456;0.990263;-0.0323599;0.133246;0.870901;-0.47543;0.0946842;-0.0808313;0.723481;-0.67819;0.0682685;-0.10942;0.742916;-0.648381;0.0991831;-0.133568;-0.683847;0.72461;-0.0212269;0.0827202;0.840536;0.5214;0.137262;0.0529155;0.692771;0.538465;0.360551;-0.316428;0.68416;0.5412;0.294723;-0.390085;0.667423;0.556671;0.284255;-0.404799;0.911674;-0.374995;0.0778651;-0.148882;0.988571;-0.0816114;0.126644;0.00532949;0.987541;-0.08484;0.122731;0.0500141;0.908511;-0.0243673;0.146578;-0.390549;0.9132;0.371263;0.159875;-0.0516616;0.991475;0.0313436;0.125586;0.0149167;0.98949;0.0358148;0.126251;0.0607184;0.867007;0.143436;0.11347;-0.463518
1607314471;0.00409288;0.984945;0.111261;0.132239;-0.0540992;0.917067;0.377182;0.11745;0.000569912;0.990307;0.0351031;0.134388;0.0215266;0.989285;-0.0531445;0.134269;0.869589;-0.476741;0.0958305;-0.0857251;0.724784;-0.675393;0.0723499;-0.115318;0.741364;-0.648718;0.101608;-0.138634;-0.686257;0.719724;-0.0366229;0.0985264;0.838562;0.524719;0.13774;0.0501206;0.693924;0.533742;0.360325;-0.32211;0.682471;0.539371;0.297495;-0.393458;0.669817;0.550279;0.286683;-0.407862;0.911738;-0.37265;0.0809494;-0.152687;0.988125;-0.0801074;0.131105;0.00191415;0.987363;-0.0813756;0.12699;0.0486413;0.887098;-0.0130964;0.148802;-0.436742;0.911711;0.372715;0.164726;-0.0522632;0.990886;0.0316852;0.130556;0.00975782;0.988939;0.0348662;0.131377;0.0593565;0.871223;0.144996;0.11927;-0.453565
1607314472;0.0029413;0.984086;0.113018;0.13709;-0.0551871;0.915405;0.380065;0.120576;-0.000289058;0.989714;0.0360641;0.138443;0.0264335;0.987195;-0.0747303;0.138429;0.868527;-0.477383;0.0990073;-0.0892406;0.72562;-0.67343;0.0755694;-0.119403;0.736743;-0.645109;0.122783;-0.161148;-0.688081;0.712806;-0.0579552;0.122854;0.836064;0.527644;0.141262;0.0513246;0.693557;0.528871;0.363041;-0.327834;0.680029;0.536596;0.301579;-0.398341;0.675208;0.539123;0.291389;-0.410526;0.911231;-0.371606;0.0847303;-0.156166;0.987576;-0.0787732;0.135969;0.000599003;0.987159;-0.0766556;0.131745;0.047784;0.878324;-0.00633757;0.149337;-0.454099;0.91046;0.373492;0.169883;-0.0520249;0.990219;0.0317652;0.135675;0.00703433;0.988318;0.0343401;0.136553;0.0583196;0.873535;0.144591;0.123301;-0.448137
1607314472;0.00214527;0.983314;0.114832;0.141078;-0.054708;0.913908;0.38154;0.127301;-0.000858107;0.988381;0.0361986;0.147622;0.0398477;0.983139;-0.0992096;0.14835;0.867765;-0.475671;0.107906;-0.0952715;0.723365;-0.670278;0.0939805;-0.136521;0.73265;-0.638682;0.147526;-0.183154;-0.677464;0.703217;-0.116442;0.181575;0.833388;0.529632;0.148082;0.0550091;0.693085;0.531156;0.366987;-0.320668;0.680307;0.539194;0.305605;-0.391225;0.688647;0.534689;0.33287;-0.359264;0.911105;-0.369864;0.0878726;-0.159273;0.987131;-0.0774154;0.139921;-0.000973743;0.986776;-0.0739212;0.135349;0.0499031;0.875368;0.00167091;0.152355;-0.458821;0.90942;0.373987;0.174265;-0.052166;0.989655;0.0317594;0.139783;0.0058401;0.987814;0.0337132;0.140694;0.0573841;0.874903;0.144649;0.126918;-0.444424
1607314473;0.00150855;0.982112;0.116339;0.148052;-0.0564611;0.912557;0.380965;0.137539;-0.00236242;0.986669;0.0320346;0.159536;0.0516707;0.978495;-0.117428;0.161519;0.866201;-0.474999;0.120368;-0.0978922;0.722081;-0.668827;0.105519;-0.1419;0.731343;-0.636238;0.158694;-0.187496;-0.679485;0.704403;-0.111537;0.172269;0.829343;0.532732;0.155461;0.0649512;0.690659;0.52994;0.373389;-0.320523;0.67797;0.538799;0.313888;-0.389265;0.698856;0.520214;0.343655;-0.35054;0.910668;-0.367737;0.093971;-0.163167;0.986185;-0.0765516;0.146896;-0.00066775;0.985701;-0.0736198;0.142113;0.0526943;0.874243;0.00532175;0.157669;-0.459141;0.908159;0.373889;0.181272;-0.050937;0.988646;0.0316202;0.146801;0.00539133;0.986871;0.0334097;0.147683;0.0562109;0.875624;0.14331;0.131189;-0.442192
1607314473;0.00128802;0.981606;0.115629;0.151917;-0.0591458;0.911825;0.379997;0.143801;-0.00359873;0.985722;0.0287247;0.165873;0.054961;0.975992;-0.126703;0.168423;0.865317;-0.475613;0.125894;-0.0957575;0.721868;-0.668338;0.110021;-0.141864;0.730593;-0.635903;0.163247;-0.18765;-0.686477;0.702666;-0.102063;0.156818;0.82607;0.535314;0.160113;0.0735546;0.689877;0.529417;0.375872;-0.320169;0.677344;0.538387;0.316585;-0.388739;0.70704;0.50997;0.348948;-0.34389;0.910511;-0.36677;0.0979253;-0.163889;0.985643;-0.0759663;0.150785;-0.000228285;0.985053;-0.0731341;0.14579;0.0553813;0.875794;0.00928814;0.161628;-0.454724;0.90751;0.374134;0.184585;-0.0487565;0.988067;0.0314627;0.150679;0.00549909;0.986328;0.03313;0.151539;0.0556276;0.87595;0.142154;0.13343;-0.44125
1607314474;0.00133551;0.981483;0.114575;0.153501;-0.0612397;0.911408;0.379568;0.146673;-0.00399331;0.985352;0.0274453;0.168263;0.0567503;0.9751;-0.129164;0.171101;0.864849;-0.476265;0.127647;-0.0944183;0.721841;-0.66802;0.111963;-0.141981;0.730397;-0.63678;0.162847;-0.185774;-0.689663;0.708009;-0.0765172;0.131274;0.824447;0.536693;0.16207;0.0773398;0.690341;0.529228;0.376239;-0.319047;0.677729;0.538393;0.316892;-0.387809;0.721914;0.492029;0.335774;-0.352141;0.910517;-0.366427;0.099849;-0.163463;0.985424;-0.0756267;0.15238;0.0000666;0.984761;-0.073171;0.147334;0.0564255;0.876219;0.010902;0.163456;-0.453214;0.907254;0.374435;0.185666;-0.0470967;0.987828;0.031344;0.152255;0.00571925;0.986116;0.0327946;0.153109;0.0552884;0.8761;0.141096;0.134262;-0.441039
1607314474;0.000118984;0.982844;0.108205;0.149362;-0.0701306;0.912561;0.37534;0.146403;-0.00927943;0.986082;0.0203886;0.164743;0.0520535;0.977769;-0.112829;0.1689;0.862716;-0.483054;0.124119;-0.083517;0.720838;-0.67134;0.110047;-0.132604;0.730318;-0.641562;0.157783;-0.173607;-0.687682;0.713011;-0.0702061;0.117388;0.821015;0.542018;0.157727;0.0852785;0.699621;0.541042;0.360716;-0.296121;0.692561;0.542376;0.285296;-0.380519;0.721446;0.516566;0.321549;-0.330576;0.913353;-0.363001;0.0988565;-0.155708;0.98625;-0.0722867;0.148601;0.00176785;0.985293;-0.0727216;0.144051;0.0561975;0.877792;0.0187771;0.165388;-0.449193;0.906963;0.378683;0.179527;-0.0422811;0.988302;0.0349874;0.148184;0.00870824;0.98645;0.0358239;0.14924;0.0579677;0.876979;0.14297;0.12973;-0.440044
1607314475;-0.010243;0.982361;0.0811587;0.168154;-0.0904765;0.915558;0.353951;0.168183;-0.0153705;0.982522;-0.00415883;0.185464;0.0323723;0.975323;-0.10927;0.189093;0.851471;-0.5003;0.143845;-0.0632882;0.710224;-0.684595;0.119457;-0.112433;0.716565;-0.664487;0.155593;-0.144161;0.669351;0.684272;0.203552;0.205689;0.808609;0.548436;0.169016;0.129622;0.701394;0.533063;0.364054;-0.302248;0.690084;0.540898;0.30433;-0.372286;0.689892;0.539729;0.298268;-0.37918;0.915171;-0.35721;0.125703;-0.138064;0.984119;-0.0463482;0.169325;0.0262627;0.983865;0.0161712;0.163009;0.0719431;0.885717;0.123429;0.14689;-0.422721;0.900855;0.391915;0.186485;-0.00928418;0.983505;0.0455501;0.17025;-0.040722;0.979585;0.10131;0.171056;0.029816;0.983687;-0.0554564;0.14916;-0.0838838
1607314475;-0.0261044;0.985946;0.0599964;0.153719;-0.0913101;0.927342;0.325926;0.159601;-0.0217311;0.983782;-0.0197492;0.17695;0.0149932;0.975914;-0.121613;0.180491;0.847802;-0.510007;0.139224;-0.0417264;0.713603;-0.676488;0.142375;-0.113418;0.717096;-0.669926;0.150342;-0.119876;-0.684018;0.719659;-0.0900232;0.078142;0.799671;0.561261;0.156725;0.144742;0.711567;0.550756;0.342312;-0.270487;0.69029;0.57212;0.287129;-0.337248;0.724138;0.525706;0.256488;-0.365336;0.921348;-0.351979;0.119208;-0.114099;0.985401;-0.0127922;0.157065;0.0644373;0.976856;0.0449687;0.145272;0.150417;-0.638291;0.209024;0.342862;0.656764;0.898501;0.406775;0.164955;0.00437753;0.985356;0.0195684;0.152778;-0.0731447;0.983696;-0.0361833;0.146988;-0.0970916;-0.847106;-0.00516908;-0.132964;0.514495
1607314475;0.0282745;0.98854;0.0920501;0.11626;-0.0353033;0.9247;0.361263;0.114773;0.0198098;0.991554;0.00931974;0.127833;0.0444394;0.984068;-0.118171;0.125183;0.848337;-0.520716;0.0865021;-0.0411939;0.718625;-0.684155;0.0852918;-0.0907491;0.710291;-0.682511;0.117605;-0.125835;-0.654326;0.746282;-0.0675534;0.101769;0.828754;0.536811;0.128848;0.09165;0.760004;0.510695;0.30923;-0.256829;0.739521;0.527983;0.256261;-0.329656;0.720478;0.553287;0.265777;-0.322719;0.905485;-0.397626;0.0731558;-0.128988;0.983233;-0.0802674;0.110337;-0.120977;0.987788;-0.036674;0.113741;-0.0999608;-0.767973;0.0464473;-0.0503765;0.636806;0.920781;0.360793;0.143009;-0.0392183;0.993358;-0.0169652;0.113631;-0.00627206;0.986011;-0.117055;0.115804;0.0258623;-0.817367;0.0277137;-0.162422;0.552052
